"投稿ID","日","時間帯","投稿時刻","分類","書き出し型","本文","状態","インプレッション","いいね","リプライ","メモ"
"D04-昼","4","昼","12:00","ノウハウ","","クラウドソーシングの提案文、
AIに丸投げすると落ちます。

でも「構成だけ」作らせると通ります。

私が使ってるのはこれ。

「以下の案件への提案文の構成を作って。
実績が少ないことを隠さず、
その上で選ぶ理由を提示する流れで。
テンプレート感を出さないで」

構成をもらって、中身は自分の言葉。
これで通過率が変わりました。","未着手","","","",""
"D04-夜","4","夜","21:00","プロセス","","【発信4日目】

今日の作業：【　】時間
今日の収入：0円

提案を3件出して、3件とも返信なし。

分かってはいたけど、
既読すらつかないのは
思ったよりしんどいですね。

明日も3件出します。","未着手","","","",""
"D05-朝","5","朝","07:00","共感","自己否定","「40代からでも遅くない」って言葉、
正直あんまり信じてませんでした。

だって遅いに決まってるから。
20代の人と同じ土俵に立ったら勝てない。

でも最近思うのは、
同じ土俵に立たなくていいということです。

20代には書けない文章がある。
20年生活してきた人にしか
分からないことがある。

遅いけど、無駄じゃないと思ってます。","未着手","","","",""
"D05-昼","5","昼","12:00","ノウハウ","","AIで一番元が取れたのは、
仕事じゃなくて献立でした。

「冷蔵庫に【　】があります。
調理30分以内、追加で買うのは3つまで。
夕食を3案出して」

これだけで、
毎日15分悩んでた時間が消えました。

月に7時間半です。
その分、作業できます。","未着手","","","",""
"D05-夜","5","夜","21:00","日常","","夫に「最近何やってるの」と聞かれて、
「AIの勉強」と答えたら、
「ふーん、詐欺じゃないよね？」と言われました。

疑われるのは分かる。
私も半年前なら同じこと言ってた。

でも、あの「ふーん」を
「へえ、すごいね」に変えるのが
今のモチベーションです。

わりと燃えてます。","未着手","","","",""
"D06-朝","6","朝","07:00","共感","数字","パートの時給は【　】円でした。

週【　】日、【　】時間。
月にすると【　】円。

決して悪くない。
ただ、子どもが熱を出すたびに
頭を下げるのがつらかった。

お金の問題じゃなくて、
「休むたびに誰かに迷惑をかける」
という構造が苦しかったんだと思います。

在宅を選んだのは、
たぶんそこが理由です。","未着手","","","",""
"D06-昼","6","昼","12:00","共感","","「パソコンが古いんですが大丈夫ですか」
という質問をいただきました。

私は【購入年】年のノートPCで
全部やってます。大丈夫です。

むしろ「買い替えないと始められない」
と思って止まっている方、
それが一番もったいないです。

私も半年止まってました。

始めてから、必要になったら買えばいいです。
だいたい必要になりません。","未着手","","","",""
"D06-夜","6","夜","21:00","共感","","朝から子どもが熱を出して、
今日は1文字も書けませんでした。

前は「今日もできなかった」と
落ち込んでたんですけど、
最近は「そういう日だな」で終われるように。

毎日やらないと続かないんじゃなくて、
休める設計にしないと続かないんだと思います。

明日やります。","未着手","","","",""
"D07-朝","7","朝","07:00","導線","","在宅ワークを始めてから調べたことを、
1つにまとめました。

・40代でも応募できる仕事
・怪しい求人の見分け方
・AIで作業を減らす方法

私が最初の1ヶ月で
知りたかったことを全部入れてます。

プロフィールのリンクから見られます📎

（無料です。営業もしません。
　合わなかったらブロックしてください）","未着手","","","",""
"D07-昼","7","昼","12:00","共感","","1週間、毎日投稿してみて分かったこと。

「書くことがない」んじゃなくて、
「書いていいと思ってない」だけでした。

子どもが熱を出して何もできなかった日。
提案が3件連続で落ちた日。

それは失敗じゃなくて、
同じ状況の人にとっては情報なんですよね。

うまくいってなくても書いていい。
そう思えたのが、今週の一番の収穫です。","未着手","","","",""
"D07-夜","7","夜","21:00","プロセス","","【発信1週間】

投稿数：21本
フォロワー：【　】人
収入：0円

数字だけ見たら何も起きてないです。

でも今日、1件だけコメントをいただきました。
「私も同じです」って。

たぶん、これで来週も続けられます。","未着手","","","",""
"D08-朝","8","朝","07:00","共感","時間","夜中に検索してた言葉を思い出しました。

「40代 主婦 資格なし 仕事」
「在宅ワーク 安全 主婦」
「40代 人生 やり直し」

3つ目を打ったとき、
自分でちょっと引きました。

でも打ってました。深夜1時に。

同じ検索したことある人、
たぶんここにいると思います。","未着手","","","",""
"D08-昼","8","昼","12:00","ノウハウ","","家計簿が続かなかった私が、
唯一続いてる方法。

レシートを写真に撮って、
AIに「この支出を食費・日用品・その他に分類して、
合計も出して」と投げるだけ。

家計簿アプリを使う前の
「入力する気力がない」問題が消えました。

続かないのは意志じゃなくて、
入口が重いだけでした。","未着手","","","",""
"D08-夜","8","夜","21:00","プロセス","","【発信8日目】

今日の作業：【　】時間
提案：【　】件出して、返信【　】件

初めて「詳細を聞かせてください」
という返信をもらいました。

まだ受注じゃないです。
ただの返信です。

それでも声出ました。","未着手","","","",""
"D09-朝","9","朝","07:00","共感","告白","「もう遅い」と一番強く思ったのは、
求人サイトで年齢の欄を選ぶときでした。

プルダウンを下にスクロールして、
自分の年齢まで下げていく時間が
妙に長く感じる。

でも冷静に考えたら、
あと20年以上働くんですよね。

20年って、新卒から40代までと同じ長さです。
そう考えたら、遅くはなかった。","未着手","","","",""
"D09-昼","9","昼","12:00","ノウハウ","","自分で書いた文章をAIに直させるとき、
「直して」だけだと個性が消えます。

私が使ってるのはこれ。

「以下を読みやすく整えて。
意味は変えない。一文を短く。
私の書き方の癖はなるべく残して」

最後の一文があるかないかで、
出てくるものが全然違います。

「自分の文章」のまま整うので。","未着手","","","",""
"D09-夜","9","夜","21:00","日常","","作業机、っていうほどのものはなくて、
ダイニングテーブルの端です。

夕飯前に片付けないといけないので、
毎日リセットされます。

不便だけど、
「専用の部屋がないから始められない」
と言ってた頃よりはマシです。

環境は、始めてから整えればいいと思ってます。","未着手","","","",""
"D10-朝","10","朝","07:00","共感","意外性","在宅ワークを始めて一番びっくりしたのは、
稼げたことじゃなくて、
同世代の友達に言えなかったことです。

「意識高いね」って言われるのが怖い。
うまくいかなかったとき恥ずかしい。

結局、リアルの友達には
今も1人にしか言ってません。

だからここで書いてます。
同じ人、いませんか。","未着手","","","",""
"D10-昼","10","昼","12:00","ノウハウ","","ChatGPTの無料版と有料版、
主婦の使い方だと正直どっちでもいいです。

私が有料にしたのは、
無料版で「上限に達しました」が出て
作業が止まったのが3回続いたときでした。

先に払う必要はないです。
止まってから考えれば十分。

「まず課金」を勧めてくる情報には
気をつけた方がいいと思ってます。","未着手","","","",""
"D10-夜","10","夜","21:00","プロセス","","【発信10日目】

今日の作業：【　】時間
今日の収入：0円
累計：0円

10日で0円です。

これを見て「やっぱり無理じゃん」
と思う人がいるのも分かります。

私も思ってます。毎日。

ただ、10日でやめた人は
100%が0円のままなので。","未着手","","","",""
"D11-朝","11","朝","07:00","共感","数字","在宅ワークを始めるときに買って、
一番いらなかったもの。

【金額】円の教材でした。

書いてあることが全部、
無料のブログに載ってました。

焦ってるときって、
「お金を払う」が一番簡単な行動なんですよね。
勉強してる気になれるので。

今なら、まず無料で1ヶ月やってみてから
考えると思います。","未着手","","","",""
"D11-昼","11","昼","12:00","ノウハウ","","スマホだけでできること、
思ってたより多いです。

・AIに文章を作らせる
・音声入力でメモを取る
・画像を作る
・求人に応募する

パソコンが必要なのは、
実際に納品する段階になってからでした。

「パソコンを買ってから始める」だと
だいたい始まらないので、
スマホで始めていいと思います。","未着手","","","",""
"D11-夜","11","夜","21:00","プロセス","","【発信11日目】

今日、初めて仕事を受注しました。

報酬：【金額】円

時給に直すと【　】円くらいです。
正直、パートより低い。

でも、自分で取った初めての仕事です。

この【金額】円は、
たぶん一生覚えてると思います。","未着手","","","",""
"D12-朝","12","朝","07:00","共感","告白","お金の話を正直に書きます。

貯金は【　】円。
子どもの教育費を考えると、
まったく足りていません。

夫の収入は安定してるけど、
「何かあったら」を考えると眠れない夜がある。

その「何かあったら」に
自分で備えたくて始めました。

不安が原動力なのは
あんまり健全じゃないけど、
今はそれで動いてます。","未着手","","","",""
"D12-昼","12","昼","12:00","ノウハウ","","AIに任せない方がいいこと、
実際にやってみて分かった3つ。

①謝罪の文章（心がこもらない。バレます）
②金額の計算（普通に間違えます）
③法律・税金の判断（自信満々に嘘をつきます）

特に③は危険です。

「調べて」と頼んでも、
調べずに書いてることがあります。

最後は自分で確認するしかないです。","未着手","","","",""
"D12-夜","12","夜","21:00","日常","","今日、初めての報酬で
コンビニのちょっといいプリンを買いました。

【金額】円の仕事で、
プリンが【　】円。

まったく割に合ってないけど、
自分で稼いだお金で買うプリンって
こんなに味が違うんですね。

家族には内緒で食べました。","未着手","","","",""
"D13-朝","13","朝","07:00","共感","告白","子どもに見られたくない自分がいます。

夜中にパソコンに向かって、
うまくいかなくてイライラしてる母親。

「ママ、まだ起きてるの」と言われて、
つい「うるさい」と言ってしまった日があります。

あれは本当に反省してます。

何のために始めたのか、
たまに分からなくなる。

そういう日もある、ということだけ書いておきます。","未着手","","","",""
"D13-昼","13","昼","12:00","ノウハウ","","議事録や打ち合わせメモ、
AIにまとめさせるとき大事なのは
「足すな」と言うことです。

「発言者が不明な箇所は
【発言者不明】としてください。
推測で埋めないでください」

これを入れないと、
言ってないことが議事録に載ります。

本当に載ります。1回やらかしました。","未着手","","","",""
"D13-夜","13","夜","21:00","プロセス","","【発信13日目】

納品しました。

修正が【　】回入りました。
正直へこみました。

でも最後に
「丁寧に対応いただきありがとうございました」
と書いてもらえて、

修正が入ったことより、
その一文の方が記憶に残ってます。","未着手","","","",""
"D14-朝","14","朝","07:00","共感","告白","一番やめようと思ったのは、
【　】日目の夜でした。

作業しても収入ゼロ。
家族には理解されない。
同世代の人が成功してる投稿だけ流れてくる。

「私は何をしてるんだろう」と思って、
アプリを消そうとしました。

消さなかった理由は、
その日たまたま1件だけ
コメントをもらったからです。

たぶん、それだけです。","未着手","","","",""
"D14-昼","14","昼","12:00","共感","","在宅ワークで一番きついのは、
作業でも収入でもなくて、
「誰にも進捗を報告しなくていい」ことでした。

パートなら誰かが見てる。
でも家だと、誰も見てない。

やってもやらなくても
今日は誰も何も言わない。

だから発信を始めました。
見られてないと、私は続けられなかったので。","未着手","","","",""
"D14-夜","14","夜","21:00","プロセス","","【発信2週間】

投稿数：42本
フォロワー：【　】人
収入：【金額】円

2週間で【金額】円です。
時給にしたら泣けます。

ただ、2週間前の私は
「自分で仕事を取る」が
できると思ってませんでした。

金額より、そっちが変わりました。","未着手","","","",""
"D15-朝","15","朝","07:00","共感","質問","「主婦です」と名乗るのが、
ちょっと恥ずかしかった時期があります。

肩書きがない気がして。

でも最近思うのは、
20年間、家族の健康と予定と食事を
一人で回してきた人間が
無能なわけないんですよね。

段取り力とマルチタスクの塊です。

自分では当たり前すぎて
価値が見えてないだけでした。","未着手","","","",""
"D15-昼","15","昼","12:00","導線","","在宅ワークを始めてから使ってきた
AIの指示文（プロンプト）を
50個まとめました。

・仕事を探すとき
・応募文を書くとき
・献立を考えるとき
・家計を見直すとき

コピーして【　】の中を書き換えるだけです。

プロフィールのリンクから
無料で受け取れます📎","未着手","","","",""
"D15-夜","15","夜","21:00","プロセス","","【発信15日目】

ちょうど半分です。

作業時間の累計：【　】時間
収入の累計：【金額】円

時給換算：【　】円

書いてて悲しくなる数字ですが、
最初の15日はこんなもんだと
先に知っておきたかったので、
正直に残しておきます。","未着手","","","",""
"D16-朝","16","朝","07:00","共感","自己否定","スマホの機種変更を、
店員さんに全部やってもらう人間です。

そんな私がAIを使ってると言うと
だいたい驚かれます。

でもAIって、機械に強い人のものじゃなくて、
「日本語で頼める」ツールなんですよね。

設定も難しくない。
アプリ入れて、話しかけるだけです。

機械が苦手な人ほど
恩恵が大きい気がしてます。","未着手","","","",""
"D16-昼","16","昼","12:00","ノウハウ","","Excelの関数、
覚えなくてよくなりました。

「A列に商品名、B列に金額があります。
商品名が『文具』の合計を出したい。
関数を教えて。意味も1行ずつ説明して」

これで出てきます。

覚えるんじゃなくて、
毎回聞けばいいと気づいてから、
事務作業がすごく楽になりました。","未着手","","","",""
"D16-夜","16","夜","21:00","日常","","夕飯の唐揚げを揚げながら、
頭の中で明日の投稿を考えてました。

油がはねて、腕にあたって、
そこで我に返る。

なんか、いいなと思いました。

料理してるときも
仕事のことを考えてる自分がいるのが、
けっこう嬉しかったです。","未着手","","","",""
"D17-朝","17","朝","07:00","共感","告白","夫に「それ、いつまでやるの」と
言われたことがあります。

責めるつもりはなかったと思います。
純粋な疑問だったんだと思う。

でも、あの一言はけっこう刺さりました。

「いつまで」に答えられないことが
自分でも不安だったので。

今は「1年やってダメならやめる」
と決めています。

期限を決めたら、少し楽になりました。","未着手","","","",""
"D17-昼","17","昼","12:00","ノウハウ","","AIが平気で嘘をつく話。

「この法律って何年に改正されました？」
と聞いたら、はっきりした年を答えてきて、
調べたら間違ってました。

しかも自信満々です。

なので私は、事実を聞くときは必ず
「確認できないことは
『確認できない』と正直に書いて」
を足すようにしてます。

それでも最後は自分で確認します。","未着手","","","",""
"D17-夜","17","夜","21:00","プロセス","","【発信17日目】

2件目の仕事を受注しました。

前回より単価が【　】円上がってます。

理由はたぶん、
前回の実績を提案文に書けたからです。

1件目が一番きつくて、
2件目から少し楽になる。
そういう構造なんだと思います。","未着手","","","",""
"D18-朝","18","朝","07:00","共感","数字","パートの面接、【　】社落ちました。

理由はたぶん年齢と、
「お子さんが熱を出したら？」の質問に
正直に答えたことです。

「実家が遠いので、私が休みます」
と答えました。

嘘をつけばよかったのかもしれない。
でもつけなかった。

在宅を選んだのは、
その質問に答えなくていいからです。","未着手","","","",""
"D18-昼","18","昼","12:00","ノウハウ","","仕事を断るのが苦手な人へ。

私はこれをAIに作らせてます。

「この依頼を断る文面を3パターン。
角が立たず、今後また依頼してもらえる関係を
保ちたい。丁寧すぎず、へりくだりすぎない文体で」

自分で書くと、
必要以上に謝ってしまうんですよね。

断り方って、
教わったことないから難しい。","未着手","","","",""
"D18-夜","18","夜","21:00","共感","","【発信18日目】

今日は作業ゼロです。

学校の行事と、
そのあと下の子が転んで病院。

前は「今日もできなかった」と
自分を責めてたけど、
最近は記録するだけにしてます。

責めても作業時間は増えないので。","未着手","","","",""
"D19-朝","19","朝","07:00","共感","逆張り","「稼げる系」の見分け方、
私なりの基準を3つ。

①金額が先に出てくる（内容より先に「月30万」）
②期限を切って急かす（「今日まで」が毎週ある）
③失敗する可能性を書かない

まともな情報ほど、
「向いてない人」の話をちゃんとします。

いい話しかしない人は、
だいたい何か隠してます。","未着手","","","",""
"D19-昼","19","昼","12:00","ノウハウ","","仕事の単価が適正か分からないとき。

「このライティング案件、
文字単価【　】円です。
初心者・中級者の一般的な相場と比べて
高いか安いか教えて。
作業時間にはリサーチと修正対応も
含めて時給を計算して」

「リサーチと修正も含めて」が大事です。

執筆時間だけで計算すると、
だいたい現実と合いません。","未着手","","","",""
"D19-夜","19","夜","21:00","日常","","子どもが「ママの仕事なに？」と聞いてきて、
説明にすごく困りました。

「パソコンで文章を書く仕事」
と言ったら、

「じゃあ作家？」

作家ではない。
でも否定するのも違う気がして、
「まあ、そんな感じ」と答えました。

なんか照れました。","未着手","","","",""
"D20-朝","20","朝","07:00","共感","告白","続かない自分を、
ずっと責めてました。

英会話も、資格の勉強も、
ジムも、全部3ヶ月でやめてる。

でも今回続いてる理由を考えたら、
意志が強くなったんじゃなくて、
ハードルを死ぬほど下げただけでした。

「1日1投稿でもOK」
「できない日は記録だけ」

続かないのは性格じゃなくて、
設計の問題だったと思ってます。","未着手","","","",""
"D20-昼","20","昼","12:00","ノウハウ","","学習の計画を自分で立てると、
だいたい詰め込みすぎます。

私はAIにこう頼んでます。

「1日1時間しか使えない前提で
週単位のスケジュールを作って。
挫折しやすいポイントと
その対策も書いて」

「1日1時間」を先に言わないと、
1日3時間の計画が出てきます。

で、3日で折れます。経験済みです。","未着手","","","",""
"D20-夜","20","夜","21:00","プロセス","","【発信20日目】

累計収入：【金額】円
累計作業：【　】時間

今月の目標は【金額】円だったので、
達成できるか微妙なラインです。

ただ、20日前は
「1円でも稼げるのか」だったので、
目標に届くか悩めてる時点で
だいぶ進んだと思ってます。","未着手","","","",""
"D21-朝","21","朝","07:00","共感","質問","プロフィールに年齢を書くか、
すごく迷いました。

40代って書いたら
「もう遅い」と思われないか。

でも書きました。

理由は、私が探してたのが
まさに「40代の人の話」だったからです。

20代の成功談は山ほどある。
40代のリアルが少なかった。

だから書いてます。
需要がないなら、それでもいいです。","未着手","","","",""
"D21-昼","21","昼","12:00","共感","","3週間続けて分かったこと。

伸びる投稿は、役に立つ投稿じゃなくて
「これ私だ」と思われる投稿でした。

丁寧に書いたノウハウより、
子どもが熱を出して何もできなかった話の方が
何倍も読まれてます。

正直、複雑です。

でも、必要とされてるのが
そっちなんだと受け止めてます。","未着手","","","",""
"D21-夜","21","夜","21:00","プロセス","","【発信3週間】

投稿数：63本
フォロワー：【　】人
累計収入：【金額】円

3週間前、
「誰も見てないのに書く意味あるのかな」
と思ってました。

今も少し思ってます。

ただ、【　】人には届いてる。
0人じゃない。","未着手","","","",""
"D22-朝","22","朝","07:00","導線","","よくいただく質問に、
まとめて答える記事を書きました。

・パソコンは必要ですか
・スマホだけでできますか
・家族に反対されたらどうしましたか
・40代からでも間に合いますか

全部、私が始める前に
知りたかったことです。

プロフィールのリンクから読めます📎","未着手","","","",""
"D22-昼","22","昼","12:00","ノウハウ","","契約書や利用規約、
読むのがしんどい人へ。

「以下を専門用語なしで要約して。
特に自分が不利になる可能性がある条項を
最優先で3つ挙げて。
不明な点は『専門家に確認すべき』と明記して」

これで概要はつかめます。

ただし固有名詞は【A社】に
置き換えてから貼ってください。
個人情報はAIに入れない方がいいので。","未着手","","","",""
"D22-夜","22","夜","21:00","プロセス","","【発信22日目】

3件目を受注しました。

今回は、こちらから提案せずに
先方から声をかけていただきました。

過去の納品を見てくださったそうです。

営業しなくても来る、
というのが初めて起きました。
これは大きい。","未着手","","","",""
"D23-朝","23","朝","07:00","共感","時間","家事と仕事の境目がないのが、
在宅の一番きついところかもしれません。

洗濯機が回ってる間に作業して、
止まったら干して、また戻る。

集中が10分ごとに切れる。

「まとまった時間が取れないと
仕事できない」と思ってたけど、
10分を6回でもいいと割り切ってから
少し進むようになりました。","未着手","","","",""
"D23-昼","23","昼","12:00","共感","","「時間がない」と言い続けて
半年止まってた人間です。

でも冷静に記録を取ったら、
スマホを見てる時間が
1日【　】時間ありました。

時間がなかったんじゃなくて、
使い方を決めてなかっただけでした。

これに気づくのに半年かかりました。
気づいてからは早かったです。","未着手","","","",""
"D23-夜","23","夜","21:00","日常","","夜、下の子が寝つかなくて、
結局一緒に寝落ちしました。

起きたら朝5時。

作業できなかったけど、
子どもの寝顔を見ながら寝落ちするのは
そんなに悪くない負け方でした。

こういう日も記録しておきます。","未着手","","","",""
"D24-朝","24","朝","07:00","共感","告白","始めたばかりの頃、
相談できる人が一人もいませんでした。

夫は詳しくない。
友達には言ってない。
親には絶対言えない。

分からないことを検索しても、
出てくるのは売り込みばかり。

あの孤独が一番きつかったです。

なので今、始めたばかりの方の
コメントには必ず返してます。
あの時の自分に返してる感覚です。","未着手","","","",""
"D24-昼","24","昼","12:00","ノウハウ","","自分で書いた提案文、
自分ではもう判断できなくなります。

そういうときはこれ。

「以下は私が書いた提案文です。
クライアントの立場から読んで、
読み飛ばされそうな箇所と
不安に感じる箇所を指摘して。
褒めなくていいので改善点だけ厳しく」

「褒めなくていい」を入れないと、
延々と褒めてきます。","未着手","","","",""
"D24-夜","24","夜","21:00","プロセス","","【発信24日目】

今日、初めて単価の交渉をしました。

継続でお願いされていた案件で、
「次回から【　】円でお願いできますか」と。

心臓バクバクでした。

結果は【結果】。

言わなければ0%だったので、
言ってよかったです。","未着手","","","",""
"D25-朝","25","朝","07:00","共感","意外性","続けられてる一番の理由は、
たぶんこのアプリで見かけた
知らない誰かの投稿でした。

同じ40代で、
同じように子どもがいて、
同じようにうまくいってなくて、
それでも書き続けてる人。

「私だけじゃない」って、
これほど効くと思ってなかったです。

だから私も書いてます。
誰かの「私だけじゃない」になれたらいい。","未着手","","","",""
"D25-昼","25","昼","12:00","ノウハウ","","記事のタイトルが決まらないとき。

「以下の内容にタイトル案を20個。
32文字以内。
『衝撃』『絶対』『必ず』は使わない。
半分は数字を入れて」

20個出させて、
使うのは1個です。

自分で3個ひねり出すより、
20個から選ぶ方が早いし精度も高い。","未着手","","","",""
"D25-夜","25","夜","21:00","プロセス","","【発信25日目】

作業時間が減ってきました。

投稿1本にかかる時間が、
最初の40分から【　】分に。

慣れたというより、
「完璧に書こうとしなくなった」
のが大きいです。

70点で出す。
出さない100点に価値はないので。","未着手","","","",""
"D26-朝","26","朝","07:00","共感","告白","「向いてないのかも」と思った日のことを
書いておきます。

【　】日目でした。

同じ日に始めた人がもう成果を出してて、
自分は0円で。

比べても意味ないのは分かってる。
分かってても比べる。

結論から言うと、今も向いてるか分かりません。

ただ、向き不向きは
1ヶ月では分からないと思って続けてます。","未着手","","","",""
"D26-昼","26","昼","12:00","ノウハウ","","何から勉強すればいいか
分からないときのプロンプト。

「【学びたいこと】をゼロから
実務レベルまで習得するロードマップを作って。
1日1時間しか使えない前提。
無料で学べるものと
有料が必要なものを分けて書いて」

最後の一行が大事です。

これを入れないと、
有料前提の計画が出てきます。","未着手","","","",""
"D26-夜","26","夜","21:00","日常","","上の子に
「ママ最近楽しそうだね」
と言われました。

正直、しんどい日の方が多いです。
収入も全然です。

でも、しんどいけど楽しいって、
たぶん子どもには見えるんですね。

その一言で、
今月は乗り切れそうです。","未着手","","","",""
"D27-朝","27","朝","07:00","共感","意外性","在宅ワークで欲しかったのは、
実はお金じゃなかったかもしれません。

「自分で決めた仕事を、
自分の時間でやって、
自分の名前で納品する」

これが想像以上に効きました。

パートのときは「誰かの代わり」でした。
今は代わりがいない。

収入はまだ全然です。
でも、これは戻れないなと思ってます。","未着手","","","",""
"D27-昼","27","昼","12:00","ノウハウ","","AIに絶対入れないもの、3つ。

①氏名・住所・電話番号
②クレジットカード情報
③子どもの学校名や写真

契約書を要約させるときも、
会社名は【A社】に置き換えてから。

便利さと引き換えに
入れちゃいけないものがある、
というのは最初に決めておいた方がいいです。","未着手","","","",""
"D27-夜","27","夜","21:00","プロセス","","【発信27日目】

今月の収入が
先月のパート代の【　】分の1になりました。

まだ全然です。

ただ、「先月のパート代と比べられる金額」
にはなってきた。

0円と比べる段階は
とりあえず終わりました。","未着手","","","",""
"D28-朝","28","朝","07:00","共感","数字","半年前の自分に言いたいことが
1つだけあります。

「調べる時間を、やる時間にして」

私は半年間、調べてただけでした。
ブログを読んで、動画を見て、
「そのうち始めよう」と思ってた。

その半年で実際にやってたら、
今ごろ1年目です。

情報は、始めてから集めても
間に合います。","未着手","","","",""
"D28-昼","28","昼","12:00","共感","","1ヶ月弱やってみて、
一番変わったのは収入じゃなくて
「相談される側になった」ことでした。

「私も始めたいんですけど」
というメッセージを
何通かいただくようになって。

答えられることは少ないけど、
1ヶ月前の自分よりは知ってる。

それだけで
誰かの役には立てるんだと思いました。","未着手","","","",""
"D28-夜","28","夜","21:00","共感","","【発信28日目】

投稿を続けて分かった、
伸びる投稿の共通点3つ。

①うまくいってない話
②具体的な数字が入ってる
③結論を出してない

逆に、きれいにまとめた投稿ほど
伸びませんでした。

たぶん、答えを求めてる人より
「同じ状況の人」を探してる人の方が
多いんだと思います。","未着手","","","",""
"D29-朝","29","朝","07:00","共感","数字","1ヶ月続きました。

続いた理由を正直に書くと、
・毎日やらなくていいルールにした
・数字を正直に出した（0円も書いた）
・完璧に書くのをやめた

この3つです。

意志の力は1ミリも使ってません。

続かない人は弱いんじゃなくて、
ルールが厳しすぎるだけかもしれません。","未着手","","","",""
"D29-昼","29","昼","12:00","導線","","1ヶ月の記録を全部まとめました。

・実際の収入（全部書きました）
・作業時間
・受注できた案件と、落ちた提案の数
・やらなくてよかったこと

いい話だけじゃないので、
参考になる方はいると思います。

プロフィールのリンクから読めます📎","未着手","","","",""
"D29-夜","29","夜","21:00","プロセス","","【発信29日目】

明日で1ヶ月です。

今、正直な気持ちを書いておくと、
「思ったより稼げないけど、
思ったより続けられる」

始める前は逆だと思ってました。
すぐ稼げて、すぐ飽きると。

現実は逆でした。
そして、こっちの方がいい気がしてます。","未着手","","","",""
"D30-朝","30","朝","07:00","導線","","1ヶ月ありがとうございました。

始めたときフォロワー0人、収入0円。
今は【　】人と【金額】円です。

大きい数字ではないけど、
0からは動きました。

これから始める方向けに、
私が最初の1ヶ月でやったことを
順番にまとめてあります。

プロフィールのリンクから
無料で見られます📎

来月も書きます。","未着手","","","",""
