number,meaning,conversation_intent,first_frame_silhouette,face_expression,hand_or_body_position,primary_motion,composition_type,body_deformation,emotion_intensity,motion_family,spatial_path,tempo_class,beat_pattern,loop_return_type,dominant_visual_element,similar_candidate_numbers,thumb_distance_32px,uniqueness_result
14,わーい・拍手,ほめる／祝う／拍手,両手を打ち合わせた直後の位置で、口を開けて笑っている,-,両腕・両手の間隔・肩・胴体の縦つぶれ,開いて閉じる手の間隔と衝突の衝撃線,上半身中心,胴体の縦つぶれ,4,両手,横,fast,3連打,通常復帰,開いて閉じる手の間隔と衝突の衝撃線,15,6.06,PASS
15,大好き,好意を伝える／お礼を強めに,大きなハートを両手で抱え、猫口とチーク3本の幸せ顔,-,ハート本体の大きさ・両腕・飛び出すハート3つ,抱えたハートの鼓動と飛び出す3つのハート,身体変形またはエフェクトが主役,なし,4,エフェクト,円弧,medium,呼吸,戻らず保持,抱えたハートの鼓動と飛び出す3つのハート,14,6.06,PASS
16,すごい！,感心する／すごいと伝える,星を顔の横に掲げ、目がきらめき口が開いた感心の表情,-,右腕・肩・上半身・星・きらめき,背中から取り出して掲げる星,全身と大きなポーズ,上半身の反り,4,小物,円弧,medium,単発,戻らず保持,背中から取り出して掲げる星,21,6.278,PASS
17,笑う,笑う／面白いと伝える,お腹を両手で押さえて前に折れ、目を細めて大口で笑っている,-,上半身の折れ・頭・両手（お腹）・笑い線,お腹を抱えて折れる上体と笑い線,全身と大きなポーズ,上半身の折れ,4,全身,縦,fast,4交互,通常復帰,お腹を抱えて折れる上体と笑い線,3,7.561,PASS
18,照れる,照れる／ほめられた返事,両手を頬に当て、波形の口とチーク3本、湯気が出はじめている,-,頭の左右傾き・両手（頬）・湯気4つ,頬に当てた両手と左右に振れる頭,顔アップ寄り,頭のわずかな横つぶれ,3,頭,円弧,medium,2拍交互,通常復帰,頬に当てた両手と左右に振れる頭,10,8.346,PASS
19,応援・ファイト,応援する／励ます,拳を顔の横まで上げ、つり眉と大口で気合いを入れている,-,右腕・拳・肩・炎（遅れて追従）,突き上げる拳と遅れて立つ炎,上半身中心,なし,5,片腕,縦,fast,遅延2拍,反動,突き上げる拳と遅れて立つ炎,1,6.573,PASS
20,びっくり,驚く／意外な報告への反応,上体をのけぞらせ両手を開いて上げ、目を見開いて口を開けている,-,上半身の反り・両腕・頭・！と？,のけぞる上体と左右へ飛ぶ！？,全身と大きなポーズ,上半身の反り,5,全身,斜め,fast,単発,反動,のけぞる上体と左右へ飛ぶ！？,22,12.027,PASS
21,ひらめき,思いついた／提案する,人差し指を立て、頭上の電球が灯り、目がきらめいている,-,右腕・人差し指・電球の点灯・頭,立てた指と点灯する電球,上半身中心,なし,3,小物,縦,medium,単発,戻らず保持,立てた指と点灯する電球,16,6.278,PASS
22,うれしい,うれしい気持ち／軽く浮かれる,片脚を上げてスカートを翻し、両手を開いた回りはじめの姿勢,-,片脚の持ち上げ・両腕・スカートの開き・頭,翻るスカートと持ち上げた片脚,座り・寝姿・斜め向き,スカートの大きな開き,4,足,円,medium,大小2拍,通常復帰,翻るスカートと持ち上げた片脚,24,9.062,PASS
23,キラキラ・決まった,ドヤ顔／決まった／かっこいい,指をメガネのブリッジに添え、レンズが光ってきらめきが1つ出ている,-,右手（メガネのブリッジ）・メガネの上下・きらめき3つ,押し上げるメガネとレンズの閃光,顔アップ寄り,なし,3,小物,斜め,medium,単発,戻らず保持,押し上げるメガネとレンズの閃光,1,5.711,PASS
24,ノリノリ,気分がいい／楽しくノる,頭を左へ振り肩を上げ、音符が飛びはじめている,-,頭の左右振り・肩・両腕・音符3つ,リズムで振れる頭と3つの音符,上半身中心,頭のわずかな横のび,3,頭,横,fast,連続,通常復帰,リズムで振れる頭と3つの音符,28,8.966,PASS
25,泣く,悲しい／泣きたい気持ち,両目から涙がこぼれ、片手を目もとに当てて眉が下がっている,-,涙の量と落下・拭う右手・頭・上半身,両目から流れ落ちる涙と拭う手,顔アップ寄り,なし,4,エフェクト,縦,medium,連続,通常復帰,両目から流れ落ちる涙と拭う手,2,7.411,PASS
26,落ち込む,落ち込む／がっかり,ひざを折って沈み込み、頭を垂れて上からどんより線が降りている,-,腰の沈み・上半身・頭・どんより線,沈み込む姿勢と頭上のどんより線,全身と大きなポーズ,膝の沈み込み,3,全身,縦,slow,単発,戻らず保持,沈み込む姿勢と頭上のどんより線,17,11.081,PASS
27,怒る,怒る／抗議する,両拳を握って構え、つり眉とへの字口、頭の横に怒りマークが2つ,-,両拳の上下・肩・胴体の縦つぶれ・怒りマーク,振り下ろす両拳と2つの怒りマーク,上半身中心,胴体の縦つぶれ,5,両手,縦,fast,大小2拍,反動,振り下ろす両拳と2つの怒りマーク,8,6.926,PASS
28,困った,困る／判断に迷う,頭を左へかしげて手をほおに当て、波形の口と汗が1粒,-,頭の傾き・右手（ほお）・汗のふくらみと滑落,左右にかしぐ頭と滑り落ちる汗,顔アップ寄り,なし,2,頭,円弧,slow,大小2拍,通常復帰,左右にかしぐ頭と滑り落ちる汗,24,8.966,PASS
29,疲れた,疲労を伝える／もう限界,がっくりと前へ脱力し、腕を垂らしてためいきをついている,-,上半身の脱力・頭・肩の落ち・ためいき,垂れ下がる腕と大きなためいき,全身と大きなポーズ,上半身の脱力,3,全身,縦,slow,呼吸,戻らず保持,垂れ下がる腕と大きなためいき,4,6.705,PASS
30,体調不良,具合が悪い／休みたい,体温計をくわえてふらつき、目がぐるぐるで汗が飛んでいる,-,上半身の左右ふらつき・頭・体温計（頭に追従）・汗,くわえた体温計とぐるぐる目,全身と大きなポーズ,上半身のふらつき,4,全身,横,slow,連続,通常復帰,くわえた体温計とぐるぐる目,22,13.582,PASS
31,わからない,わからない／お手上げ,両手のひらを上に向けて左右に開き、肩をすくめて眉が下がっている,-,両腕の開き・肩のすくめ・頭,てのひらを上に開いた両手と上がる肩,上半身中心,肩のすくめ,3,両手,横,medium,単発,戻らず保持,てのひらを上に開いた両手と上がる肩,14,7.481,PASS
32,眠い,眠い／限界が近い,半目でこっくりと頭が落ち、メガネが鼻までずり下がってzzzが出ている,-,頭の落下と跳ね起き・メガネのずり落ち・zzz,ずり落ちるメガネとこっくり船を漕ぐ頭,顔アップ寄り,なし,3,頭,縦,slow,大小2拍,反動,ずり落ちるメガネとこっくり船を漕ぐ頭,5,9.84,PASS
33,OK!,了解／返事を短く返す,O・K・！が中央に組み上がった完成状態,-,O・K・！の3部品,3方向から弧を描いて集まる文字,記号,着地の縦つぶれ,4,エフェクト,円弧,fast,3連打,反動,3方向から弧を描いて集まる文字,36,15.407,PASS
34,ハート,好意／お礼／かわいい反応,ふたの開いた小箱から3つのハートが飛び出している完成状態,-,箱のふたの跳ね上がり・ハート3つの別軌道,ふたが跳ねて飛び出す3つのハート,記号,なし,3,小物,放物線,medium,単発,退出再登場,ふたが跳ねて飛び出す3つのハート,35,17.175,PASS
35,汗,あせる／気まずい／なんとも言えない,大きさの違う3粒の汗が、別々の高さで噴き出している完成状態,-,3粒の噴出と落下,別々の始点から出る3本の放物線,記号,なし,3,エフェクト,放物線,medium,連続,退出再登場,別々の始点から出る3本の放物線,38,9.595,PASS
36,！？,驚き／聞き返す,！と？が中央に並んだ完成状態,-,！の縦の落下・？の横からの飛来・衝突の縦つぶれ,縦と横から来てぶつかる！と？,記号,衝突の縦つぶれ,5,エフェクト,縦と横の交差,fast,2連打,反動,縦と横から来てぶつかる！と？,33,15.407,PASS
37,？,疑問／どういうこと？,曲線と点がそろって？が完成している状態,-,曲線本体の描き足しと巻き戻し・点の横移動と大跳ね,別々に組み上がる曲線と大きく跳ねる点,記号,なし,3,エフェクト,斜め,medium,大小2拍,通常復帰,別々に組み上がる曲線と大きく跳ねる点,38,16.026,PASS
38,キラキラ,ほめる／かわいい／うれしい強調,大きさの違う星3つが三方向に散った完成状態,-,星3つの飛来・中央交差・反対側への拡散,3方向から交差して抜ける3つの星,記号,なし,3,エフェクト,直線交差,medium,連続,退出再登場,3方向から交差して抜ける3つの星,35,9.595,PASS
39,炎・熱い,気合い／盛り上がり／応援,中央の炎が立ち、左右の炎も開いた3本構成の完成状態,-,火種の跳ね・左右の炎の開き・中央炎の立ち上がり,3段階で立ち上がる3本の炎,記号,炎のゆらぎ,4,エフェクト,縦（3段）,medium,3段階,反動,3段階で立ち上がる3本の炎,33,18.138,PASS
40,zzz,寝る／おやすみ／退屈,大きさの違うzが3つ、斜めのラインに連なった完成状態,-,z3つの押し出し・斜め上への移動・拡大,押し出されながら斜めに連なる3つのz,記号,なし,2,エフェクト,斜め上（3本）,slow,呼吸,退出再登場,押し出されながら斜めに連なる3つのz,38,14.59,PASS
