number,meaning,concept_strength,silhouette_originality,material_and_depth,series_hooks,small_size_product_appeal,total,result,basis
28,困った,18,15.8,18,18.3,15.5,85.6,PASS,32px色距離8.97(下位21/40) / 32pxシルエット距離5.08 / メガネ遮蔽率7.2% / 素材と一言コンセプトは作者判断
29,疲れた,18,13.3,18,17.1,13.5,79.9,REVIEW,32px色距離6.70(下位9/40) / 32pxシルエット距離3.28 / メガネ遮蔽率12.1% / 素材と一言コンセプトは作者判断
30,体調不良,18,20.0,18,16.0,19.6,91.6,PASS,32px色距離13.58(下位34/40) / 32pxシルエット距離8.05 / メガネ遮蔽率16.7% / 素材と一言コンセプトは作者判断
31,わからない,17,14.2,18,17.1,14.2,80.5,PASS,32px色距離7.48(下位16/40) / 32pxシルエット距離3.92 / メガネ遮蔽率12.1% / 素材と一言コンセプトは作者判断
32,眠い,19,15.6,18,16.6,16.3,85.5,PASS,32px色距離9.84(下位27/40) / 32pxシルエット距離4.90 / メガネ遮蔽率14.0% / 素材と一言コンセプトは作者判断
33,OK!,18,20.0,17,20.0,20.0,95.0,PASS,32px色距離15.41(下位36/40) / 32pxシルエット距離8.94 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
34,ハート,18,20.0,17,20.0,20.0,95.0,PASS,32px色距離17.17(下位39/40) / 32pxシルエット距離9.80 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
35,汗,18,16.7,17,20.0,16.1,87.8,PASS,32px色距離9.59(下位25/40) / 32pxシルエット距離5.70 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
36,！？,18,20.0,17,20.0,20.0,95.0,PASS,32px色距離15.41(下位36/40) / 32pxシルエット距離8.94 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
37,？,18,20.0,17,20.0,20.0,95.0,PASS,32px色距離16.03(下位38/40) / 32pxシルエット距離9.19 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
38,キラキラ,18,16.7,17,20.0,16.1,87.8,PASS,32px色距離9.59(下位25/40) / 32pxシルエット距離5.70 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
39,炎・熱い,18,20.0,17,20.0,20.0,95.0,PASS,32px色距離18.14(下位40/40) / 32pxシルエット距離10.46 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
40,zzz,18,20.0,17,20.0,20.0,95.0,PASS,32px色距離14.59(下位35/40) / 32pxシルエット距離8.46 / メガネ遮蔽率0.0% / 素材と一言コンセプトは作者判断
