number,meaning,moving_parts,fixed_parts,first_frame_description,peak_frame_description,observed_part_displacement,whole_sprite_only_motion,fixed_anchor_displacement_px,fixed_region_difference_ratio,outline_jitter_result,horizontal_anchor,horizontal_anchor_range_px,max_adjacent_horizontal_anchor_step_px,allow_horizontal_travel,peak_hold_ms,emotion_specific_motion_result
20,びっくり,上半身の反り・両腕・頭・！と？,両足・接地,上体をのけぞらせ両手を開いて上げ、目を見開いて口を開けている,のけぞりが最大になり、！と？が左右へ離れながら最大化し放射線が出る,head_crown=66.4px; hand_R=51.0px; hand_L=39.2px; lens_r=39.1px; chin=18.4px,false,0.002,-,PASS,両足中央,0.0,0.0,false,837,PASS
21,ひらめき,右腕・人差し指・電球の点灯・頭,両足・腰・左腕・胴体,人差し指を立て、頭上の電球が灯り、目がきらめいている,指が最高点で止まり電球が点灯して放射線6本が広がる,hand_R=46.1px; head_crown=39.4px; lens_r=24.0px; chin=11.9px; hand_L=3.2px,false,0.001,-,PASS,両足中央,0.0,0.0,false,798,PASS
22,うれしい,片脚の持ち上げ・両腕・スカートの開き・頭,軸足の接地,片脚を上げてスカートを翻し、両手を開いた回りはじめの姿勢,上げた脚が最大まで持ち上がりスカートが1.30倍に開き、回転軌跡の弧が3本回る,hand_R=53.2px; head_crown=39.6px; hand_L=30.4px; lens_r=22.8px; chin=10.0px,false,2.091,-,PASS,軸足,0.0,0.0,false,675,PASS
23,キラキラ・決まった,右手（メガネのブリッジ）・メガネの上下・きらめき3つ,両足・腰・胴体・左腕,指をメガネのブリッジに添え、レンズが光ってきらめきが1つ出ている,メガネが押し上げられてレンズに白い閃光が走り、きらめき3つが外へ広がる,hand_R=43.0px; head_crown=22.7px; lens_r=10.8px; chin=2.5px; hand_L=1.9px,false,0.0,0.0,PASS,顔中心,0.0,0.0,false,787,PASS
24,ノリノリ,頭の左右振り・肩・両腕・音符3つ,両足・腰・接地,頭を左へ振り肩を上げ、音符が飛びはじめている,頭が21度まで振り切れて肩が最も上がり、音符3つが別軌道で斜め上へ抜ける,head_crown=58.4px; hand_R=37.7px; lens_r=27.5px; hand_L=15.8px; chin=7.1px,false,0.022,-,PASS,両足中央,0.0,0.0,false,573,PASS
25,泣く,涙の量と落下・拭う右手・頭・上半身,両足・腰,両目から涙がこぼれ、片手を目もとに当てて眉が下がっている,のけぞって大口で泣き、両手が目もとに上がり涙が最大量で流れ落ちる,hand_L=63.0px; head_crown=44.0px; hand_R=28.8px; lens_r=22.3px; chin=7.2px,false,0.0,0.0,PASS,両足中央,0.0,0.0,false,492,PASS
26,落ち込む,腰の沈み・上半身・頭・どんより線,両足の接地点,ひざを折って沈み込み、頭を垂れて上からどんより線が降りている,腰が10px沈んで頭が最も低くなり、どんより線が最長まで伸びる,head_crown=37.4px; lens_r=28.4px; hand_R=19.8px; chin=19.7px; hand_L=19.0px,false,0.02,-,PASS,両足中央,0.0,0.0,false,506,PASS
27,怒る,両拳の上下・肩・胴体の縦つぶれ・怒りマーク,接地の左右位置・顔の中心,両拳を握って構え、つり眉とへの字口、頭の横に怒りマークが2つ,両拳が振り下ろされて体が沈み、怒りマークが最大化し足元に衝撃線が出る,hand_L=52.8px; hand_R=52.8px; head_crown=25.1px; lens_r=22.7px; chin=21.5px,false,0.005,-,PASS,胴体中心,0.0,0.0,false,798,PASS
28,困った,頭の傾き・右手（ほお）・汗のふくらみと滑落,両足・腰・胴体・左腕,頭を左へかしげて手をほおに当て、波形の口と汗が1粒,頭が反対へ19度かしぎ、汗がふくらんで顔の横を滑り落ちる,head_crown=52.8px; lens_r=22.7px; hand_R=13.7px; chin=5.8px; hand_L=2.0px,false,0.0,0.0,PASS,胴体中心,0.0,0.0,false,631,PASS
29,疲れた,上半身の脱力・頭・肩の落ち・ためいき,両足の接地点・両腕の下垂位置,がっくりと前へ脱力し、腕を垂らしてためいきをついている,上体が最も深く脱力して腰が7px沈み、ためいきが最大まで広がる,head_crown=30.3px; lens_r=21.4px; hand_R=18.1px; hand_L=17.1px; chin=15.0px,false,0.001,-,PASS,両足中央,0.0,0.0,false,500,PASS
30,体調不良,上半身の左右ふらつき・頭・体温計（頭に追従）・汗,両足の接地点,体温計をくわえてふらつき、目がぐるぐるで汗が飛んでいる,上体と頭が右へ最大までふらつき、体温計が追従して傾き汗が外へ飛ぶ,head_crown=110.5px; lens_r=57.5px; chin=25.9px; hand_R=18.4px; hand_L=17.9px,false,2.145,-,PASS,両足中央,0.0,0.0,false,516,PASS
31,わからない,両腕の開き・肩のすくめ・頭,両足・腰・接地,両手のひらを上に向けて左右に開き、肩をすくめて眉が下がっている,両手が最大まで開いて肩が7px上がり、肩の外側に無言線が4本出る,hand_R=48.0px; hand_L=48.0px; head_crown=17.2px; lens_r=6.5px; chin=3.4px,false,0.0,0.0,PASS,胴体中心,0.0,0.0,false,636,PASS
32,眠い,頭の落下と跳ね起き・メガネのずり落ち・zzz,両足・腰・胴体・両腕,半目でこっくりと頭が落ち、メガネが鼻までずり下がってzzzが出ている,頭が19px落ち切ってメガネが12px下がり、はっと跳ね起きる直前でzzzがふくらむ,head_crown=68.7px; lens_r=45.9px; chin=26.3px; hand_R=10.7px; hand_L=6.9px,false,0.0,0.0,PASS,胴体中心,0.0,0.0,false,270,PASS
33,OK!,O・K・！の3部品,なし（記号のみ）,O・K・！が中央に組み上がった完成状態,3部品が別方向の弧を描いて戻り中央で衝突、縦につぶれて衝撃線6本が広がる,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,中央（組み上がり位置）,0.0,0.0,true,589,PASS
34,ハート,箱のふたの跳ね上がり・ハート3つの別軌道,箱の本体,ふたの開いた小箱から3つのハートが飛び出している完成状態,ふたが27px跳ね上がり、3つのハートが左右と正面の別々の放物線へ分かれる,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,箱の本体,0.0,0.0,true,649,PASS
35,汗,3粒の噴出と落下,なし（記号のみ）,大きさの違う3粒の汗が、別々の高さで噴き出している完成状態,3粒がそれぞれの放物線の頂点を別のタイミングで通過し、順に下へ落ちる,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,なし（画面下へ退出）,0.0,0.0,true,364,PASS
36,！？,！の縦の落下・？の横からの飛来・衝突の縦つぶれ,なし（記号のみ）,！と？が中央に並んだ完成状態,上から落ちた！と横から飛来した？が中央でぶつかり、放射線5本が出る,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,中央（衝突位置）,0.0,0.0,true,637,PASS
37,？,曲線本体の描き足しと巻き戻し・点の横移動と大跳ね,なし（記号のみ）,曲線と点がそろって？が完成している状態,曲線が描き上がったあと、点だけが17px大きく跳ねて所定位置に収まる,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,曲線本体の中心,0.0,0.0,true,412,PASS
38,キラキラ,星3つの飛来・中央交差・反対側への拡散,なし（記号のみ）,大きさの違う星3つが三方向に散った完成状態,3つの星が中央で交差して最小になり、そのまま反対方向へ抜けて再び開く,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,中央（交差点）,0.0,0.0,true,364,PASS
39,炎・熱い,火種の跳ね・左右の炎の開き・中央炎の立ち上がり,なし（記号のみ）,中央の炎が立ち、左右の炎も開いた3本構成の完成状態,火種が跳ねたあと左右の炎が開き、遅れて中央炎が56px立ち上がって最大になる,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,炎の根元中央,0.0,0.0,false,694,PASS
40,zzz,z3つの押し出し・斜め上への移動・拡大,なし（記号のみ）,大きさの違うzが3つ、斜めのラインに連なった完成状態,先頭のzが最大サイズで右上へ抜け、後続のzが前のzの位置を押し出して引き継ぐ,記号部品が画面内を最大で約120px移動,false,0.0,-,PASS,なし（画面外へ退出）,0.0,0.0,true,358,PASS
