number,pose_id,role,changed_joints,changed_contact,silhouette_change,generated_from_single_warp,identity_result,approval
17,P2-anticipation,予備動作,True,False,True,false,PASS,approved
17,P3-transit,通過姿勢,True,False,True,false,PASS,approved
17,P4-peak,最大動作,True,True,True,false,PASS,approved
17,P5-recoil,反動・着地,True,True,True,false,PASS,approved
17,P6-return,戻り,True,False,True,false,PASS,approved
18,P1-first,意味完成,True,False,True,false,PASS,approved
18,P2-anticipation,予備動作,True,False,True,false,PASS,approved
18,P3-transit,通過姿勢,True,False,True,false,PASS,approved
18,P4-peak,最大動作,True,False,True,false,PASS,approved
18,P5-recoil,反動・着地,True,False,True,false,PASS,approved
18,P6-return,戻り,True,False,True,false,PASS,approved
19,P1-first,意味完成,True,False,True,false,PASS,approved
19,P2-anticipation,予備動作,True,False,True,false,PASS,approved
19,P3-transit,通過姿勢,True,False,True,false,PASS,approved
19,P4-peak,最大動作,True,False,True,false,PASS,approved
19,P5-recoil,反動・着地,True,False,True,false,PASS,approved
19,P6-return,戻り,True,False,True,false,PASS,approved
20,P1-first,意味完成,True,False,True,false,PASS,approved
20,P2-anticipation,予備動作,True,True,True,false,PASS,approved
20,P3-transit,通過姿勢,True,True,True,false,PASS,approved
20,P4-peak,最大動作,True,False,True,false,PASS,approved
20,P5-recoil,反動・着地,True,False,True,false,PASS,approved
20,P6-return,戻り,True,False,True,false,PASS,approved
21,P1-first,意味完成,True,False,True,false,PASS,approved
21,P2-anticipation,予備動作,True,False,True,false,PASS,approved
21,P3-transit,通過姿勢,True,False,True,false,PASS,approved
21,P4-peak,最大動作,True,False,True,false,PASS,approved
21,P5-recoil,反動・着地,True,False,True,false,PASS,approved
21,P6-return,戻り,True,False,True,false,PASS,approved
22,P1-first,意味完成,True,True,True,false,PASS,approved
22,P2-anticipation,予備動作,True,True,True,false,PASS,approved
22,P3-transit,通過姿勢,True,True,True,false,PASS,approved
22,P4-peak,最大動作,True,True,True,false,PASS,approved
22,P5-recoil,反動・着地,True,True,True,false,PASS,approved
22,P6-return,戻り,True,True,True,false,PASS,approved
23,P1-first,意味完成,True,False,True,false,PASS,approved
23,P2-anticipation,予備動作,True,True,True,false,PASS,approved
23,P3-transit,通過姿勢,True,True,True,false,PASS,approved
23,P4-peak,最大動作,True,True,True,false,PASS,approved
23,P5-recoil,反動・着地,True,True,True,false,PASS,approved
23,P6-return,戻り,True,True,True,false,PASS,approved
24,P1-first,意味完成,True,False,True,false,PASS,approved
24,P2-anticipation,予備動作,True,False,True,false,PASS,approved
24,P3-transit,通過姿勢,True,False,True,false,PASS,approved
24,P4-peak,最大動作,True,False,True,false,PASS,approved
24,P5-recoil,反動・着地,True,False,True,false,PASS,approved
24,P6-return,戻り,True,False,True,false,PASS,approved
25,P1-first,意味完成,True,True,False,false,PASS,approved
25,P2-anticipation,予備動作,True,True,True,false,PASS,approved
25,P3-transit,通過姿勢,True,True,True,false,PASS,approved
25,P4-peak,最大動作,True,True,True,false,PASS,approved
25,P5-recoil,反動・着地,True,True,True,false,PASS,approved
25,P6-return,戻り,True,False,True,false,PASS,approved
26,P1-first,意味完成,True,True,True,false,PASS,approved
26,P2-anticipation,予備動作,True,True,True,false,PASS,approved
26,P3-transit,通過姿勢,True,True,True,false,PASS,approved
26,P4-peak,最大動作,True,True,True,false,PASS,approved
26,P5-recoil,反動・着地,True,True,True,false,PASS,approved
26,P6-return,戻り,True,True,True,false,PASS,approved
27,P1-first,意味完成,True,False,True,false,PASS,approved
27,P2-anticipation,予備動作,True,False,True,false,PASS,approved
27,P3-transit,通過姿勢,True,False,True,false,PASS,approved
27,P4-peak,最大動作,True,True,True,false,PASS,approved
27,P5-recoil,反動・着地,True,True,True,false,PASS,approved
27,P6-return,戻り,True,False,True,false,PASS,approved
28,P1-first,意味完成,True,False,True,false,PASS,approved
28,P2-anticipation,予備動作,True,False,True,false,PASS,approved
28,P3-transit,通過姿勢,True,False,True,false,PASS,approved
28,P4-peak,最大動作,True,False,True,false,PASS,approved
28,P5-recoil,反動・着地,True,False,True,false,PASS,approved
28,P6-return,戻り,True,False,True,false,PASS,approved
29,P1-first,意味完成,True,True,True,false,PASS,approved
29,P2-anticipation,予備動作,True,True,True,false,PASS,approved
29,P3-transit,通過姿勢,True,True,True,false,PASS,approved
29,P4-peak,最大動作,True,True,True,false,PASS,approved
29,P5-recoil,反動・着地,True,False,True,false,PASS,approved
29,P6-return,戻り,True,True,True,false,PASS,approved
30,P1-first,意味完成,True,True,True,false,PASS,approved
30,P2-anticipation,予備動作,True,True,True,false,PASS,approved
30,P3-transit,通過姿勢,True,True,True,false,PASS,approved
30,P4-peak,最大動作,True,True,True,false,PASS,approved
30,P5-recoil,反動・着地,True,True,True,false,PASS,approved
30,P6-return,戻り,True,True,True,false,PASS,approved
31,P1-first,意味完成,True,False,True,false,PASS,approved
31,P2-anticipation,予備動作,True,True,True,false,PASS,approved
31,P3-transit,通過姿勢,True,True,True,false,PASS,approved
31,P4-peak,最大動作,True,False,True,false,PASS,approved
31,P5-recoil,反動・着地,True,False,True,false,PASS,approved
31,P6-return,戻り,True,False,True,false,PASS,approved
32,P1-first,意味完成,False,True,True,false,PASS,approved
32,P2-anticipation,予備動作,False,True,True,false,PASS,approved
32,P3-transit,通過姿勢,False,True,True,false,PASS,approved
32,P4-peak,最大動作,True,True,True,false,PASS,approved
32,P5-recoil,反動・着地,True,True,True,false,PASS,approved
32,P6-return,戻り,False,True,True,false,PASS,approved
33,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
33,S2-release,記号構成状態2,-,-,-,false,PASS,approved
33,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
33,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
33,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
34,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
34,S2-release,記号構成状態2,-,-,-,false,PASS,approved
34,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
34,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
34,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
35,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
35,S2-release,記号構成状態2,-,-,-,false,PASS,approved
35,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
35,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
35,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
36,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
36,S2-release,記号構成状態2,-,-,-,false,PASS,approved
36,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
36,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
36,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
37,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
37,S2-release,記号構成状態2,-,-,-,false,PASS,approved
37,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
37,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
37,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
38,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
38,S2-release,記号構成状態2,-,-,-,false,PASS,approved
38,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
38,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
38,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
39,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
39,S2-release,記号構成状態2,-,-,-,false,PASS,approved
39,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
39,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
39,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
40,S1-complete,記号構成状態1,-,-,-,false,PASS,approved
40,S2-release,記号構成状態2,-,-,-,false,PASS,approved
40,S3-apart,記号構成状態3,-,-,-,false,PASS,approved
40,S4-rebuild,記号構成状態4,-,-,-,false,PASS,approved
40,S5-impact,記号構成状態5,-,-,-,false,PASS,approved
