number,meaning,bytes_before,bytes_after,target_met,hard_limit_met,frames,unique_frames,cycle_ms,max_changed_bbox_ratio,fixed_region_byte_identity,optimization_pass,visual_quality_result
14,わーい・拍手,186724,186724,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
15,大好き,171072,171072,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
16,すごい！,193796,193796,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
17,笑う,184406,184406,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
18,照れる,186554,186554,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
19,応援・ファイト,196426,196426,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
20,びっくり,220932,220932,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
21,ひらめき,191310,191310,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
22,うれしい,208190,208190,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
23,キラキラ・決まった,182913,182913,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
24,ノリノリ,196506,196506,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
25,泣く,201810,201810,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
26,落ち込む,180109,180109,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
27,怒る,177142,177142,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
28,困った,166656,166656,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
29,疲れた,181225,181225,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
30,体調不良,203403,203403,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
31,わからない,180106,180106,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
32,眠い,195209,195209,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
33,OK!,110096,110096,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
34,ハート,64220,64220,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
35,汗,42622,42622,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
36,！？,87377,87377,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
37,？,61659,61659,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
38,キラキラ,59942,59942,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
39,炎・熱い,88358,88358,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
40,zzz,55118,55118,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
