number,meaning,conversation_intent,first_frame_silhouette,face_expression,hand_or_body_position,primary_motion,dominant_effect,prop_or_symbol,dominant_visual_element,composition_type,body_deformation,emotion_intensity,distinguishing_feature,similar_candidate_numbers,uniqueness_result
026,泣く,悲しみ・泣く,片手を目元へ添えた直立,潤んだ目、右目に涙／八の字に上げる／への字に歪む,右手を目元へ添える／やや前かがみ,wipe_and_drip/diagonal_wipe,一粒の涙,なし,右目から落ちる一粒の涙,face_centered,なし,中,涙は常に1粒だけ,"021,025",PASS
027,怒る,怒りを伝える,両拳を体側で握った踏ん張り姿勢,つり上げた鋭い目／強く下げて寄せる／歯を食いしばる,体側で両拳を強く握る／踏ん張った直立,percussive_full_body/stomp_and_burst,赤い怒り記号の破裂,なし,体側で握った両拳と赤い怒り記号,full_body,なし,強,正面の両拳と赤い怒り記号,"028,024",PASS
028,イライラ,いらだちを伝える,腕を組んだ直立に片足だけが動く,細めた横目／片方だけ上げる／への字に結ぶ,胸の前で腕を組む／片足を前へ出した直立,localized_repetition/single_limb_tap,衝撃線,なし,組んだ腕と床を叩く片足,full_body,なし,中,腕組みと足踏み,"027,032",PASS
029,すねる,拗ねる・不満を示す,40個中唯一の後ろ向きと肩越しの振り返り,横目で振り返る／片方を下げる／頬を膨らませてすぼめる,体の前で腕を組む／背を向けかけた斜め向き,body_turn_glance_back/yaw_rotation,尻尾の払い,なし,背を向けた体と肩越しに振り返る顔,seated_lying_back,頬の膨らみ,中,唯一の後ろ向きと振り返り,028,PASS
030,困る,困惑を伝える,片手を頭へ当てた非対称の直立,困った半開きの目／八の字に強く下げる／斜めに歪んだ小さな口,右手を頭へ、左手を下げる／非対称に傾いた直立,search_gesture/triangular_gaze_path,片側ステッチのほつれ,なし,頭をかく右手と八の字の眉,face_centered,なし,中,非対称の頭かき,"018,031",PASS
031,不安,不安を伝える,膝を曲げて縮こまった小さな塊,揺れる小さな瞳／八の字に強く上げる／歯を見せた緊張の口,胸の前で両手を固く組む／膝を曲げて縮こまる,clutch_and_shrink/inward_and_down,2粒の汗,なし,胸の前で固く組んだ両手,seated_lying_back,全身の縮こまり,中,手の大移動・縮こまる姿勢・歯を見せた緊張顔,"025,032",PASS
032,焦る,焦りを伝える,前傾して両手を高さ違いに上げた全身,小さく縮んだ瞳／強く上げて寄せる／大きく開いた慌ての口,両手を高さ違いで上げる／前傾して踏み出す,alternating_panic/alternating_lateral_burst,4粒の汗,なし,ばらばらに上げた両手と飛び散る汗,full_body,なし,強,前傾・手足の交互性・多数の汗,"020,031",PASS
033,OK!,了承を文末に添える,横並びの太い英字3文字,（記号のためなし）,（記号のためなし）,glyph_assembly/multi_arc_converge,衝突の衝撃線,英字3パーツ,太い丸文字で組み上がった OK!,symbol,衝突時の横つぶれ,中,40個中唯一の英字と商品固有の太い丸文字,036,PASS
034,ハート,好意を文末に添える,斜めに並んだ大中小3つのハート,（記号のためなし）,（記号のためなし）,container_release/staggered_arc_emit,なし,小箱と3つのハート,斜めに並んだ大中小3つのハート,symbol,なし,中,箱の開閉・3個の時間差と上昇軌道,"017,038",PASS
035,汗,困りや焦りを文末に添える,外向きに散った3粒の水滴,（記号のためなし）,（記号のためなし）,burst_and_fall/parabolic_scatter,なし,水滴3粒,外向きに並んだ大中小3粒の汗,symbol,噴出時の縦伸び,中,水色の3粒と異なる軌道,"032,038",PASS
036,!?,驚きを文末に添える,直交して重なる2つの太い約物,（記号のためなし）,（記号のためなし）,dual_impact/orthogonal_collide,衝突の衝撃線,! と ?,重なった太い感嘆符と疑問符,symbol,衝突時のつぶれ,強,朱赤の ! とミントの ? の2方向動作,"033,037",PASS
037,？,疑問を文末に添える,傾いた単独の大きな疑問符,（記号のためなし）,（記号のためなし）,draw_and_join/bottom_up_plus_drop,なし,曲線本体と点,傾いた大きな疑問符,symbol,なし,弱,曲線と点の組み立て,036,PASS
038,キラキラ,称賛や輝きを文末に添える,角度の異なる3つの星,（記号のためなし）,（記号のためなし）,arrival_and_cross/crossing_curves,同時発光,星3つ,異なる角度で光る大中小3つの星,symbol,なし,中,星の飛来・交差・分散,"022,034",PASS
039,炎,熱意や応援を文末に添える,根元が細く先端が三層に開く縦長の炎,（記号のためなし）,（記号のためなし）,ignite_and_unfold/rooted_upward_bloom,なし,火種と三層の炎,立ち上がった朱赤・黄・ミントの三層炎,symbol,炎先端の分岐,強,火種から三層炎への展開,024,PASS
040,zzz,眠気を文末に添える,斜めに連なる3つの小文字,（記号のためなし）,（記号のためなし）,push_and_drift/diagonal_ascend_chain,なし,小文字 z 3つ,斜め上へ並んだ z・zz・zzz,symbol,なし,弱,40個中唯一の小文字・押し出しと分岐軌道,035,PASS
