number,pose_id,role,changed_joints,changed_contact,silhouette_change,generated_from_single_warp,identity_result,approval
003,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
003,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
003,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
004,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
004,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
004,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
004,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
004,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
004,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
005,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
005,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
005,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
005,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
005,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
005,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
006,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
006,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
006,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
006,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
006,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
006,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
007,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
007,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
007,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
007,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
007,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
007,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
008,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
008,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
008,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
008,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
008,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
008,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
009,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
009,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
009,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
009,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
009,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
009,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
010,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
010,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
010,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
010,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
010,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
010,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
011,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
011,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
011,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
011,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
011,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
011,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
012,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
012,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
012,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
012,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
012,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
012,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
013,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
013,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
013,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
013,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
013,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
013,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
014,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
014,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
014,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
014,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
014,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
014,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
015,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
015,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
015,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
015,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
015,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
015,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
016,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
016,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
016,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
016,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
016,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
016,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
017,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
017,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
017,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
017,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
017,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
017,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
018,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
018,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
018,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
018,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
018,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
018,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
019,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
019,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
019,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
019,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
019,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
019,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
020,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
020,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
020,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
020,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
020,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
020,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
021,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
021,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
021,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
021,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
021,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
021,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
022,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
022,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
022,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
022,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
022,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
022,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
023,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
023,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
023,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
023,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
023,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
023,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
024,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
024,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
024,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
024,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
024,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
024,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
025,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
025,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
025,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
025,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
025,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
025,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
026,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
026,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
026,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
026,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
026,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
026,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
027,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
027,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
027,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
027,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
027,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
027,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
028,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
028,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
028,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
028,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
028,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
028,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
029,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
029,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
029,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
029,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
029,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
029,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
030,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
030,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
030,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
030,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
030,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
030,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
031,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
031,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
031,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
031,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
031,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
031,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
032,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
032,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
032,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
032,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
032,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
032,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
033,S1,完成状態（第1フレーム）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
033,S2,部品出現・分散,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
033,S3,接近,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
033,S4,衝突または結合,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
033,S5,反動または分散,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
034,S1,完成状態（第1フレーム）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
034,S2,部品出現・分散,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
034,S3,接近,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
034,S4,衝突または結合,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
034,S5,反動または分散,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
035,S1,完成状態（第1フレーム）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
035,S2,部品出現・分散,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
035,S3,接近,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
